epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1596.48,1.26336,1.79518,1.36752,0.67321,0.55825,0.59047,0.3856,1.31932,1.4158,1.44584,0.00999758,0.00333253,0.00999758,0.00333253,0.00999758,0.00333253,0.00999758,0.00333253
2,2984.42,1.29495,1.48621,1.37318,0.64043,0.55318,0.5948,0.3888,1.33173,1.43228,1.4627,0.0193377,0.00644589,0.0193377,0.00644589,0.0193377,0.00644589,0.0193377,0.00644589
3,4310.59,1.35533,1.59831,1.42556,0.63422,0.55641,0.58598,0.38314,1.32946,1.46298,1.48299,0.0280177,0.00933925,0.0280177,0.00933925,0.0280177,0.00933925,0.0280177,0.00933925
4,5604.01,1.35529,1.57963,1.42756,0.69834,0.59256,0.63753,0.42833,1.26185,1.28836,1.4117,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,6920.16,1.2903,1.4329,1.37888,0.70385,0.62636,0.66721,0.46063,1.20962,1.20016,1.36527,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,8225.74,1.24857,1.35388,1.34737,0.7145,0.64374,0.68731,0.48158,1.17322,1.13645,1.33109,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,9545.84,1.22405,1.29489,1.32839,0.73083,0.65858,0.70466,0.49918,1.14612,1.09886,1.30813,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,10836.5,1.20295,1.25425,1.31561,0.74482,0.66191,0.71639,0.51256,1.12717,1.06199,1.29457,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,12122.8,1.18346,1.21974,1.30389,0.74151,0.67472,0.72283,0.51986,1.11073,1.03617,1.27995,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,13411.3,1.172,1.1899,1.29165,0.75162,0.68014,0.7325,0.52984,1.09753,1.0141,1.26887,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,14693.1,1.1507,1.16103,1.27777,0.74995,0.68613,0.73566,0.53371,1.08951,1.00053,1.26284,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,15980.4,1.14663,1.14492,1.27415,0.75641,0.68701,0.7393,0.53854,1.08129,0.98933,1.25706,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
